Nat,Pokemon,Form,Species,HP,Atk,Def,SpA,SpD,Spe,Type I,Type II,Ability I,Ability II,Hidden Ability,Catch Rate,Mass (kg),Height (m),Base Egg Steps,Gender (%M,EXP to 100,Growth,Gen,Evolves from,Evolution chain id,Color id,Shape id,Habitat id (FRLG versions),Base Happiness
446,Munchlax,,Big Eater,135,85,40,40,85,5,Normal,,Pickup,Thick Fat,Gluttony,50,105,0.6,10280,87.5,1250000,S,4,0,72,1,12,0,70
447,Riolu,,Emanation,40,70,40,35,40,60,Fighting,,Steadfast,Inner Focus,Prankster,75,20.2,0.7,6425,87.5,1059860,MS,4,0,232,2,6,0,70
448,Lucario,,Aura,70,110,70,115,70,90,Fighting,Steel,Steadfast,Inner Focus,Justified,45,54,1.2,6425,87.5,1059860,MS,4,447,232,2,6,0,70
448,Lucario,Mega,Aura,70,145,88,140,70,112,Fighting,Steel,Adaptability,,,45,57.5,1.3,6425,87.5,1059860,MS,4,447,232,2,6,0,70
449,Hippopotas,,Hippo,68,72,78,38,42,32,Ground,,Sand Stream,,Sand Force,140,49.5,0.8,7710,50,1250000,S,4,0,233,3,8,0,70
450,Hippowdon,,Heavyweight,108,112,118,68,72,47,Ground,,Sand Stream,,Sand Force,60,300,2,7710,50,1250000,S,4,449,233,3,8,0,70
451,Skorupi,,Scorpion,40,50,90,30,55,65,Poison,Bug,Battle Armor,Sniper,Keen Eye,120,12,0.8,5140,50,1250000,S,4,0,234,7,14,0,70
452,Drapion,,Ogre Scorpion,70,90,110,60,75,95,Poison,Dark,Battle Armor,Sniper,Keen Eye,45,61.5,1.3,5140,50,1250000,S,4,451,234,7,14,0,70
453,Croagunk,,Toxic Mouth,48,61,40,61,40,50,Poison,Fighting,Anticipation,Dry Skin,Poison Touch,140,23,0.7,2570,50,1000000,MF,4,0,235,2,12,0,100
454,Toxicroak,,Toxic Mouth,83,106,65,86,65,85,Poison,Fighting,Anticipation,Dry Skin,Poison Touch,75,44.4,1.3,2570,50,1000000,MF,4,453,235,2,12,0,70
455,Carnivine,,Bug Catcher,74,100,72,90,72,46,Grass,,Levitate,,,200,27,1.4,6425,50,1250000,S,4,0,236,5,10,0,70
456,Finneon,,Wing Fish,49,49,56,49,61,66,Water,,Swift Swim,Storm Drain,Water Veil,190,7,0.4,5140,50,600000,E,4,0,237,2,3,0,70
457,Lumineon,,Neon,69,69,76,69,86,91,Water,,Swift Swim,Storm Drain,Water Veil,75,24,1.2,5140,50,600000,E,4,456,237,2,3,0,70
458,Mantyke,,Kite,45,20,50,60,120,50,Water,Flying,Swift Swim,Water Absorb,,25,65,1,6425,50,1250000,S,4,0,116,2,9,0,70
459,Snover,,Frost Tree,60,62,50,62,60,40,Ice,Grass,Snow Warning,,Soundproof,120,50.5,1,5140,50,1250000,S,4,0,239,9,6,0,70
460,Abomasnow,,Frost Tree,90,92,75,92,85,60,Ice,Grass,Snow Warning,,Soundproof,60,135.5,2.2,5140,50,1250000,S,4,459,239,9,6,0,70
460,Abomasnow,Mega,Frost Tree,90,132,105,132,105,30,Ice,Grass,Snow Warning,,,60,185,2.7,5140,50,1250000,S,4,459,239,9,6,0,70
461,Weavile,,Sharp Claw,70,120,65,45,85,125,Dark,Ice,Pressure,,Pickpocket,45,34,1.1,5140,50,1059860,MS,4,215,109,1,6,0,35
462,Magnezone,,Magnet Area,70,70,115,130,90,60,Electric,Steel,Magnet Pull,Sturdy,Analytic,30,180,1.2,5140,Genderless,1000000,MF,4,82,34,4,4,0,70
463,Lickilicky,,Licking,110,85,95,80,95,50,Normal,,Own Tempo,Oblivious,Cloud Nine,30,140,1.7,5140,50,1000000,MF,4,108,48,6,12,0,70
464,Rhyperior,,Drill,115,140,130,55,55,40,Ground,Rock,Lightning Rod,Solid Rock,Reckless,30,282.8,2.4,5140,50,1250000,S,4,112,50,4,6,0,70
465,Tangrowth,,Vine,100,100,125,110,50,50,Grass,,Chlorophyll,Leaf Guard,Regenerator,30,128.6,2,5140,50,1000000,MF,4,114,52,2,12,0,70
466,Electivire,,Thunderbolt,75,123,67,95,85,95,Electric,,Motor Drive,,Vital Spirit,30,138.6,1.8,5140,75,1000000,MF,4,125,60,10,6,0,70
467,Magmortar,,Blast,75,95,67,125,95,83,Fire,,Flame Body,,Vital Spirit,30,68,1.6,5140,75,1000000,MF,4,126,61,8,6,0,70
468,Togekiss,,Jubilee,85,50,95,120,115,80,Fairy,Flying,Hustle,Serene Grace,Super Luck,30,38,1.5,5140,87.5,800000,F,4,176,87,9,9,0,70
469,Yanmega,,Ogre Darner,86,76,86,116,56,95,Bug,Flying,Speed Boost,Tinted Lens,Frisk,30,51.5,1.9,5140,50,1000000,MF,4,193,95,5,13,0,70
470,Leafeon,,Verdant,65,110,130,60,65,95,Grass,,Leaf Guard,,Chlorophyll,45,25.5,1,5140,87.5,1000000,MF,4,133,67,5,8,0,35
471,Glaceon,,Fresh Snow,65,60,110,130,95,65,Ice,,Snow Cloak,,Ice Body,45,25.9,0.8,5140,87.5,1000000,MF,4,133,67,2,8,0,35
472,Gliscor,,Fang Scorpion,75,95,125,45,75,95,Ground,Flying,Hyper Cutter,Sand Veil,Poison Heal,30,42.5,2,5140,50,1059860,MS,4,207,104,7,9,0,70
473,Mamoswine,,Twin Tusk,110,130,80,70,60,80,Ice,Ground,Oblivious,Snow Cloak,Thick Fat,50,291,2.5,5140,50,1250000,S,4,221,112,3,8,0,70
474,Porygon-Z,,Virtual,85,80,70,135,75,90,Normal,,Adaptability,Download,Analytic,30,34,0.9,5140,Genderless,1000000,MF,4,233,68,8,4,0,70
475,Gallade,,Blade,68,125,65,65,115,80,Psychic,Fighting,Steadfast,,Justified,45,52,1.6,5140,100,1250000,S,4,281,140,9,12,0,35
475,Gallade,Mega,Blade,68,165,95,65,115,110,Psychic,Fighting,Inner Focus,,,45,56.4,1.6,5140,100,1250000,S,4,281,140,9,12,0,35
476,Probopass,,Compass,60,55,145,75,150,40,Rock,Steel,Sturdy,Magnet Pull,Sand Force,60,340,1.4,5140,50,1000000,MF,4,299,147,4,11,0,70
477,Dusknoir,,Gripper,45,100,135,65,135,45,Ghost,,Pressure,,,45,106.6,2.2,5140,50,800000,F,4,356,182,1,4,0,35
478,Froslass,,Snow Land,70,80,70,80,70,110,Ice,Ghost,Snow Cloak,,Cursed Body,75,26.6,1.3,5140,0,1000000,MF,4,361,186,9,4,0,70
479,Rotom,Normal,Plasma,50,50,77,95,77,91,Electric,Ghost,Levitate,,,45,0.3,0.3,5140,Genderless,1000000,MF,4,0,240,8,1,0,70
479,Rotom,Heat,Plasma,50,65,107,105,107,86,Electric,Fire,Levitate,,,45,0.3,0.3,5140,Genderless,1000000,MF,4,0,240,8,1,0,70
479,Rotom,Wash,Plasma,50,65,107,105,107,86,Electric,Water,Levitate,,,45,0.3,0.3,5140,Genderless,1000000,MF,4,0,240,8,1,0,70
479,Rotom,Frost,Plasma,50,65,107,105,107,86,Electric,Ice,Levitate,,,45,0.3,0.3,5140,Genderless,1000000,MF,4,0,240,8,1,0,70
479,Rotom,Fan,Plasma,50,65,107,105,107,86,Electric,Flying,Levitate,,,45,0.3,0.3,5140,Genderless,1000000,MF,4,0,240,8,1,0,70
479,Rotom,Mow,Plasma,50,65,107,105,107,86,Electric,Grass,Levitate,,,45,0.3,0.3,5140,Genderless,1000000,MF,4,0,240,8,1,0,70
480,Uxie,,Knowledge,75,75,130,75,130,95,Psychic,,Levitate,,,3,0.3,0.3,20560,Genderless,1250000,S,4,0,241,10,6,0,140
481,Mesprit,,Emotion,80,105,105,105,105,80,Psychic,,Levitate,,,3,0.3,0.3,20560,Genderless,1250000,S,4,0,242,6,6,0,140
482,Azelf,,Willpower,75,125,70,125,70,115,Psychic,,Levitate,,,3,0.3,0.3,20560,Genderless,1250000,S,4,0,243,2,6,0,140
483,Dialga,,Temporal,100,120,120,150,100,90,Steel,Dragon,Pressure,,Telepathy,30,683,5.4,30840,Genderless,1250000,S,4,0,244,9,8,0,0
484,Palkia,,Spatial,90,120,100,150,120,100,Water,Dragon,Pressure,,Telepathy,30,336,4.2,30840,Genderless,1250000,S,4,0,245,7,6,0,0
485,Heatran,,Lava Dome,91,90,106,130,106,77,Fire,Steel,Flash Fire,,Flame Body,3,430,1.7,2570,50,1250000,S,4,0,246,3,8,0,100
486,Regigigas,,Colossal,110,160,110,80,110,100,Normal,,Slow Start,,,3,420,3.7,30840,Genderless,1250000,S,4,0,247,9,12,0,0
487,Giratina,Altered Forme,Renegade,150,100,120,100,120,90,Ghost,Dragon,Pressure,,Telepathy,3,750,4.5,30840,Genderless,1250000,S,4,0,248,1,10,0,0
487,Giratina,Origin Forme,Renegade,150,120,100,120,100,90,Ghost,Dragon,Levitate,,,3,650,6.9,30840,Genderless,1250000,S,4,0,248,1,10,0,0
488,Cresselia,,Lunar,120,70,120,75,130,85,Psychic,,Levitate,,,3,85.6,1.5,30840,0,1250000,S,4,0,249,10,14,0,100
489,Phione,,Sea Drifter,80,80,80,80,80,80,Water,,Hydration,,,30,3.1,0.4,10280,Genderless,1250000,S,4,0,250,2,4,0,70
490,Manaphy,,Seafaring,100,100,100,100,100,100,Water,,Hydration,,,3,1.4,0.3,2570,Genderless,1250000,S,4,0,250,2,12,0,70
491,Darkrai,,Pitch-Black,70,90,90,135,90,125,Dark,,Bad Dreams,,,3,50.5,1.5,30840,Genderless,1250000,S,4,0,252,1,12,0,0
492,Shaymin,Land Forme,Gratitude,100,100,100,100,100,100,Grass,,Natural Cure,,,45,2.1,0.2,30840,Genderless,1059860,MS,4,0,253,5,8,0,100
492,Shaymin,Sky Forme,Gratitude,100,103,75,120,75,127,Grass,Flying,Serene Grace,,,45,5.2,0.4,30840,Genderless,1059860,MS,4,0,253,5,8,0,100
493,Arceus,,Alpha,120,120,120,120,120,120,Normal,,Multitype,,,3,320,3.2,30840,Genderless,1250000,S,4,0,254,4,8,0,0
494,Victini,,Victory,100,100,100,100,100,100,Psychic,Fire,Victory Star,,,3,4,0.4,30840,Genderless,1250000,S,5,0,255,10,12,0,100
495,Snivy,,Grass Snake,45,45,55,45,55,63,Grass,,Overgrow,,Contrary,45,8.1,0.6,5140,87.5,1059860,MS,5,0,256,5,6,0,70
496,Servine,,Grass Snake,60,60,75,60,75,83,Grass,,Overgrow,,Contrary,45,16,0.8,5140,87.5,1059860,MS,5,495,256,5,6,0,70
497,Serperior,,Regal,75,75,95,75,95,113,Grass,,Overgrow,,Contrary,45,63,3.3,5140,87.5,1059860,MS,5,496,256,5,2,0,70
498,Tepig,,Fire Pig,65,63,45,45,45,45,Fire,,Blaze,,Thick Fat,45,9.9,0.5,5140,87.5,1059860,MS,5,0,257,8,8,0,70
499,Pignite,,Fire Pig,90,93,55,70,55,55,Fire,Fighting,Blaze,,Thick Fat,45,55.5,1,5140,87.5,1059860,MS,5,498,257,8,6,0,70
500,Emboar,,Mega Fire Pig,110,123,65,100,65,65,Fire,Fighting,Blaze,,Reckless,45,150,1.6,5140,87.5,1059860,MS,5,499,257,8,6,0,70
501,Oshawott,,Sea Otter,55,55,45,63,45,45,Water,,Torrent,,Shell Armor,45,5.9,0.5,5140,87.5,1059860,MS,5,0,258,2,6,0,70
502,Dewott,,Discipline,75,75,60,83,60,60,Water,,Torrent,,Shell Armor,45,24.5,0.8,5140,87.5,1059860,MS,5,501,258,2,6,0,70
503,Samurott,,Formidable,95,100,85,108,70,70,Water,,Torrent,,Shell Armor,45,94.6,1.5,5140,87.5,1059860,MS,5,502,258,2,8,0,70
504,Patrat,,Scout,45,55,39,35,39,42,Normal,,Run Away,Keen Eye,Analytic,255,11.6,0.5,3855,50,1000000,MF,5,0,259,3,8,0,70
505,Watchog,,Lookout,60,85,69,60,69,77,Normal,,Illuminate,Keen Eye,Analytic,255,27,1.1,3855,50,1000000,MF,5,504,259,3,6,0,70
506,Lillipup,,Puppy,45,60,45,25,45,55,Normal,,Vital Spirit,Pickup,Run Away,255,4.1,0.4,3855,50,1059860,MS,5,0,260,3,8,0,70
507,Herdier,,Loyal Dog,65,80,65,35,65,60,Normal,,Intimidate,Sand Rush,Scrappy,120,14.7,0.9,3855,50,1059860,MS,5,506,260,4,8,0,70
508,Stoutland,,Big-Hearted,85,110,90,45,90,80,Normal,,Intimidate,Sand Rush,Scrappy,45,61,1.2,3855,50,1059860,MS,5,507,260,4,8,0,70
509,Purrloin,,Devious,41,50,37,50,37,66,Dark,,Limber,Unburden,Prankster,255,10.1,0.4,5140,50,1000000,MF,5,0,261,7,8,0,70
510,Liepard,,Cruel,64,88,50,88,50,106,Dark,,Limber,Unburden,Prankster,90,37.5,1.1,5140,50,1000000,MF,5,509,261,7,8,0,70
511,Pansage,,Grass Monkey,50,53,48,53,48,64,Grass,,Gluttony,,Overgrow,190,10.5,0.6,5140,87.5,1000000,MF,5,0,262,5,6,0,70
512,Simisage,,Thorn Monkey,75,98,63,98,63,101,Grass,,Gluttony,,Overgrow,75,30.5,1.1,5140,87.5,1000000,MF,5,511,262,5,6,0,70
513,Pansear,,High Temp,50,53,48,53,48,64,Fire,,Gluttony,,Blaze,190,11,0.6,5140,87.5,1000000,MF,5,0,263,8,6,0,70
514,Simisear,,Ember,75,98,63,98,63,101,Fire,,Gluttony,,Blaze,75,28,1,5140,87.5,1000000,MF,5,513,263,8,6,0,70
515,Panpour,,Spray,50,53,48,53,48,64,Water,,Gluttony,,Torrent,190,13.5,0.6,5140,87.5,1000000,MF,5,0,264,2,6,0,70
516,Simipour,,Geyser,75,98,63,98,63,101,Water,,Gluttony,,Torrent,75,29,1,5140,87.5,1000000,MF,5,515,264,2,6,0,70
517,Munna,,Dream Eater,76,25,45,67,55,24,Psychic,,Forewarn,Synchronize,Telepathy,190,23.3,0.6,2570,50,800000,F,5,0,265,6,8,0,70
518,Musharna,,Drowsing,116,55,85,107,95,29,Psychic,,Forewarn,Synchronize,Telepathy,75,60.5,1.1,2570,50,800000,F,5,517,265,6,12,0,70
519,Pidove,,Tiny Pidgeon,50,55,50,36,30,43,Normal,Flying,Big Pecks,Super Luck,Rivalry,255,2.1,0.3,3855,50,1059860,MS,5,0,266,4,9,0,70
520,Tranquill,,Wild Pidgeon,62,77,62,50,42,65,Normal,Flying,Big Pecks,Super Luck,Rivalry,120,15,0.6,3855,50,1059860,MS,5,519,266,4,9,0,70
521,Unfezant,,Proud,80,115,80,65,55,93,Normal,Flying,Big Pecks,Super Luck,Rivalry,45,29,1.2,3855,50,1059860,MS,5,520,266,4,9,0,70
522,Blitzle,,Electrified,45,60,32,50,32,76,Electric,,Lightning Rod,Motor Drive,Sap Sipper,190,29.8,0.8,5140,50,1000000,MF,5,0,267,1,8,0,70
523,Zebstrika,,Thunderbolt,75,100,63,80,63,116,Electric,,Lightning Rod,Motor Drive,Sap Sipper,75,79.5,1.6,5140,50,1000000,MF,5,522,267,1,8,0,70
524,Roggenrola,,Mantle,55,75,85,25,25,15,Rock,,Sturdy,,Sand Force,255,18,0.4,3855,50,1059860,MS,5,0,268,2,7,0,70
525,Boldore,,Ore,70,105,105,50,40,20,Rock,,Sturdy,,Sand Force,120,102,0.9,3855,50,1059860,MS,5,524,268,2,10,0,70
526,Gigalith,,Compressed,85,135,130,60,80,25,Rock,,Sturdy,,Sand Force,45,260,1.7,3855,50,1059860,MS,5,525,268,2,10,0,70
527,Woobat,,Bat,55,45,43,55,43,72,Psychic,Flying,Unaware,Klutz,Simple,190,2.1,0.4,3855,50,1000000,MF,5,0,269,2,9,0,70
528,Swoobat,,Courting,67,57,55,77,55,114,Psychic,Flying,Unaware,Klutz,Simple,45,10.5,0.9,3855,50,1000000,MF,5,527,269,2,9,0,70
529,Drilbur,,Mole,60,85,40,30,45,68,Ground,,Sand Rush,Sand Force,Mold Breaker,120,8.5,0.3,5140,50,1000000,MF,5,0,270,4,6,0,70
530,Excadrill,,Subterrene,110,135,60,50,65,88,Ground,Steel,Sand Rush,Sand Force,Mold Breaker,60,40.4,0.7,5140,50,1000000,MF,5,529,270,4,12,0,70
531,Audino,,Hearing,103,60,86,60,86,50,Normal,,Healer,Regenerator,Klutz,255,31,1.1,5140,50,800000,F,5,0,271,6,6,0,70
531,Audino,Mega,Hearing,103,60,126,80,126,50,Normal,Fairy,Healer,,,255,32,1.5,5140,50,800000,F,5,0,271,6,6,0,70
532,Timburr,,Muscular,75,80,55,25,35,35,Fighting,,Guts,Sheer Force,Iron Fist,180,12.5,0.6,5140,75,1059860,MS,5,0,272,4,12,0,70
533,Gurdurr,,Muscular,85,105,85,40,50,40,Fighting,,Guts,Sheer Force,Iron Fist,90,40,1.2,5140,75,1059860,MS,5,532,272,4,12,0,70
534,Conkeldurr,,Muscular,105,140,95,55,65,45,Fighting,,Guts,Sheer Force,Iron Fist,45,87,1.4,5140,75,1059860,MS,5,533,272,3,12,0,70
535,Tympole,,Tadpole,50,50,40,50,40,64,Water,,Swift Swim,Hydration,Water Absorb,255,4.5,0.5,5140,50,1059860,MS,5,0,273,2,3,0,70
536,Palpitoad,,Vibration,75,65,55,65,55,69,Water,Ground,Swift Swim,Hydration,Water Absorb,120,17,0.8,5140,50,1059860,MS,5,535,273,2,6,0,70
537,Seismitoad,,Vibration,105,95,75,85,75,74,Water,Ground,Swift Swim,Poison Touch,Water Absorb,45,62,1.5,5140,50,1059860,MS,5,536,273,2,12,0,70
538,Throh,,Judo,120,100,85,30,85,45,Fighting,,Guts,Inner Focus,Mold Breaker,45,55.5,1.3,5140,100,1000000,MF,5,0,274,8,12,0,70
539,Sawk,,Karate,75,125,75,30,75,85,Fighting,,Sturdy,Inner Focus,Mold Breaker,45,51,1.4,5140,100,1000000,MF,5,0,275,2,12,0,70
540,Sewaddle,,Sewing,45,53,70,40,60,42,Bug,Grass,Swarm,Chlorophyll,Overcoat,255,2.5,0.3,3855,50,1059860,MS,5,0,276,10,14,0,70
541,Swadloon,,Leaf-Wrapped,55,63,90,50,80,42,Bug,Grass,Leaf Guard,Chlorophyll,Overcoat,120,7.3,0.5,3855,50,1059860,MS,5,540,276,5,4,0,70
542,Leavanny,,Nurturing,75,103,80,70,80,92,Bug,Grass,Swarm,Chlorophyll,Overcoat,45,20.5,1.2,3855,50,1059860,MS,5,541,276,10,12,0,70
543,Venipede,,Centipede,30,45,59,30,39,57,Bug,Poison,Poison Point,Swarm,Quick Feet,255,5.3,0.4,3855,50,1059860,MS,5,0,277,8,14,0,70
544,Whirlipede,,Curlipede,40,55,99,40,79,47,Bug,Poison,Poison Point,Swarm,Quick Feet,120,58.5,1.2,3855,50,1059860,MS,5,543,277,4,1,0,70
545,Scolipede,,Megapede,60,100,89,55,69,112,Bug,Poison,Poison Point,Swarm,Quick Feet,45,200.5,2.5,3855,50,1059860,MS,5,544,277,8,14,0,70
546,Cottonee,,Cotton Puff,40,27,60,37,50,66,Grass,Fairy,Prankster,Infiltrator,Chlorophyll,190,0.6,0.3,5140,50,1000000,MF,5,0,278,5,1,0,70
547,Whimsicott,,Windveiled,60,67,85,77,75,116,Grass,Fairy,Prankster,Infiltrator,Chlorophyll,75,6.6,0.7,5140,50,1000000,MF,5,546,278,5,12,0,70
548,Petilil,,Bulb,45,35,50,70,50,30,Grass,,Chlorophyll,Own Tempo,Leaf Guard,190,6.6,0.5,5140,0,1000000,MF,5,0,279,5,5,0,70
549,Lilligant,,Flowering,70,60,75,110,75,90,Grass,,Chlorophyll,Own Tempo,Leaf Guard,75,16.3,1.1,5140,0,1000000,MF,5,548,279,5,5,0,70
550,Basculin,Red-Striped,Hostile,70,92,65,80,55,98,Water,,Reckless,Adaptability,Mold Breaker,25,18,1,10280,50,1000000,MF,5,0,280,5,3,0,70
550,Basculin,Blue-Striped,Hostile,70,92,65,80,55,98,Water,,Rock Head,Adaptability,Mold Breaker,25,18,1,10280,50,1000000,MF,5,0,280,5,3,0,70
551,Sandile,,Desert Croc,50,72,35,35,35,65,Ground,Dark,Intimidate,Moxie,Anger Point,180,15.2,0.7,5140,50,1059860,MS,5,0,281,3,8,0,70
552,Krokorok,,Desert Croc,60,82,45,45,45,74,Ground,Dark,Intimidate,Moxie,Anger Point,90,33.4,1,5140,50,1059860,MS,5,551,281,3,8,0,70
553,Krookodile,,Intimidation,95,117,80,65,70,92,Ground,Dark,Intimidate,Moxie,Anger Point,45,96.3,1.5,5140,50,1059860,MS,5,552,281,8,6,0,70
554,Darumaka,,Zen Charm,70,90,45,15,45,50,Fire,,Hustle,,Inner Focus,120,37.5,0.6,5140,50,1059860,MS,5,0,282,8,12,0,70
555,Darmanitan,Standard Mode,Blazing,105,140,55,30,55,95,Fire,,Sheer Force,,Zen Mode,60,92.9,1.3,5140,50,1059860,MS,5,554,282,8,8,0,70
555,Darmanitan,Zen Mode,Blazing,105,30,105,140,105,55,Fire,Psychic,,,Zen Mode,60,92.9,1.3,5140,50,1059860,MS,5,554,282,8,8,0,70
556,Maractus,,Cactus,75,86,67,106,67,60,Grass,,Water Absorb,Chlorophyll,Storm Drain,255,28,1,5140,50,1000000,MF,5,0,283,5,5,0,70
557,Dwebble,,Rock Inn,50,65,85,35,35,55,Bug,Rock,Sturdy,Shell Armor,Weak Armor,190,14.5,0.3,5140,50,1000000,MF,5,0,284,8,14,0,70
558,Crustle,,Stone Home,70,95,125,65,75,45,Bug,Rock,Sturdy,Shell Armor,Weak Armor,75,200,1.4,5140,50,1000000,MF,5,557,284,8,14,0,70
559,Scraggy,,Shedding,50,75,70,35,70,48,Dark,Fighting,Shed Skin,Moxie,Intimidate,180,11.8,0.6,3855,50,1000000,MF,5,0,285,10,6,0,35
560,Scrafty,,Hoodlum,65,90,115,45,115,58,Dark,Fighting,Shed Skin,Moxie,Intimidate,90,30,1.1,3855,50,1000000,MF,5,559,285,8,6,0,70
561,Sigilyph,,Avianoid,72,58,80,103,80,97,Psychic,Flying,Wonder Skin,Magic Guard,Tinted Lens,45,14,1.4,5140,50,1000000,MF,5,0,286,1,9,0,70
562,Yamask,,Spirit,38,30,85,55,65,30,Ghost,,Mummy,,,190,1.5,0.5,6425,50,1000000,MF,5,0,287,1,4,0,70
563,Cofagrigus,,Coffin,58,50,145,95,105,30,Ghost,,Mummy,,,90,76.5,1.7,6425,50,1000000,MF,5,562,287,10,5,0,70
564,Tirtouga,,Prototurtle,54,78,103,53,45,22,Water,Rock,Solid Rock,Sturdy,Swift Swim,45,16.5,0.7,7710,87.5,1000000,MF,5,0,288,2,8,0,70
565,Carracosta,,Prototurtle,74,108,133,83,65,32,Water,Rock,Solid Rock,Sturdy,Swift Swim,45,81,1.2,7710,87.5,1000000,MF,5,564,288,2,6,0,70
566,Archen,,First Bird,55,112,45,74,45,70,Rock,Flying,Defeatist,,,45,9.5,0.6,7710,87.5,1000000,MF,5,0,289,10,9,0,70
567,Archeops,,First Bird,75,140,65,112,65,110,Rock,Flying,Defeatist,,,45,32,1.4,7710,87.5,1000000,MF,5,566,289,10,9,0,70
568,Trubbish,,Trash Bag,50,50,62,40,62,65,Poison,,Stench,Sticky Hold,Aftermath,190,31,0.6,5140,50,1000000,MF,5,0,290,5,12,0,70
569,Garbodor,,Trash Heap,80,95,92,60,82,75,Poison,,Stench,Weak Armor,Aftermath,60,107.3,1.9,5140,50,1000000,MF,5,568,290,5,12,0,70
570,Zorua,,Tricky Fox,40,65,40,80,40,65,Dark,,Illusion,,,75,12.5,0.7,6425,87.5,1059860,MS,5,0,291,4,8,0,70
571,Zoroark,,Illusion Fox,60,105,60,120,60,105,Dark,,Illusion,,,45,81.1,1.6,6425,87.5,1059860,MS,5,570,291,4,6,0,70
572,Minccino,,Chinchilla,55,50,40,40,40,75,Normal,,Cute Charm,Technician,Skill Link,255,5.8,0.4,3855,25,800000,F,5,0,292,4,8,0,70
573,Ciccino,,Scarf,75,95,60,65,60,115,Normal,,Cute Charm,Technician,Skill Link,60,7.5,0.5,3855,25,800000,F,5,572,292,4,8,0,70
574,Gothita,,Fixation,45,30,50,55,65,45,Psychic,,Frisk,,Shadow Tag,200,5.8,0.4,5140,25,1059860,MS,5,0,293,7,12,0,70
575,Gothorita,,Manipulate,60,45,70,75,85,55,Psychic,,Frisk,,Shadow Tag,100,18,0.7,5140,25,1059860,MS,5,574,293,7,12,0,70
576,Gothitelle,,Astral Body,70,55,95,95,110,65,Psychic,,Frisk,,Shadow Tag,50,44,1.5,5140,25,1059860,MS,5,575,293,7,12,0,70
577,Solosis,,Cell,45,30,40,105,50,20,Psychic,,Overcoat,Magic Guard,Regenerator,200,1,0.3,5140,50,1059860,MS,5,0,294,5,1,0,70
578,Duosion,,Mitosis,65,40,50,125,60,30,Psychic,,Overcoat,Magic Guard,Regenerator,100,8,0.6,5140,50,1059860,MS,5,577,294,5,1,0,70
579,Reuniclus,,Multiplying,110,65,75,125,85,30,Psychic,,Overcoat,Magic Guard,Regenerator,50,20.1,1,5140,50,1059860,MS,5,578,294,5,4,0,70
580,Ducklett,,Water Bird,62,44,50,44,50,55,Water,Flying,Keen Eye,Big Pecks,Hydration,190,5.5,0.5,5140,50,1000000,MF,5,0,295,2,9,0,70
581,Swanna,,White Bird,75,87,63,87,63,98,Water,Flying,Keen Eye,Big Pecks,Hydration,45,24.2,1.3,5140,50,1000000,MF,5,580,295,9,9,0,70
582,Vanillite,,Fresh Snow,36,50,50,65,60,44,Ice,,Ice Body,,Weak Armor,255,5.7,0.4,5140,50,1000000,S,5,0,296,9,5,0,70
583,Vanillish,,Icy Snow,51,65,65,80,75,59,Ice,,Ice Body,,Weak Armor,120,41,1.1,5140,50,1000000,S,5,582,296,9,5,0,70
584,Vanilluxe,,Snowstorm,71,95,85,110,95,79,Ice,,Ice Body,,Weak Armor,45,57.5,1.3,5140,50,1000000,S,5,583,296,9,11,0,70
585,Deerling,,Season,60,60,50,40,50,75,Normal,Grass,Chlorophyll,Sap Sipper,Serene Grace,190,19.5,0.6,5140,50,1000000,MF,5,0,297,10,8,0,70
586,Sawsbuck,,Season,80,100,70,60,70,95,Normal,Grass,Chlorophyll,Sap Sipper,Serene Grace,75,92.5,1.9,5140,50,1000000,MF,5,585,297,3,8,0,70
587,Emolga,,Sky Squirrel,55,75,60,75,60,103,Electric,Flying,Static,,Motor Drive,200,5,0.4,5140,50,1000000,MF,5,0,298,9,8,0,70
588,Karrablast,,Clamping,50,75,45,40,45,60,Bug,,Swarm,Shed Skin,No Guard,200,5.9,0.5,3855,50,1000000,MF,5,0,299,2,12,0,70
589,Escavalier,,Cavalry,70,135,105,60,105,20,Bug,Steel,Swarm,Shell Armor,Overcoat,75,33,1,3855,50,1000000,MF,5,588,299,4,4,0,70
590,Foongus,,Mushroom,69,55,45,55,55,15,Grass,Poison,Effect Spore,,Regenerator,190,1,0.2,5140,50,1000000,MF,5,0,300,9,4,0,70
591,Amoonguss,,Mushroom,114,85,70,85,80,30,Grass,Poison,Effect Spore,,Regenerator,75,10.5,0.6,5140,50,1000000,MF,5,590,300,9,4,0,70
592,Frillish,,Floating,55,40,50,65,85,40,Water,Ghost,Water Absorb,Cursed Body,,190,33,1.2,5140,50,1000000,MF,5,0,301,9,10,0,70
593,Jellicent,,Floating,100,60,70,85,105,60,Water,Ghost,Water Absorb,Cursed Body,Damp,60,135,2.2,5140,50,1000000,MF,5,592,301,9,10,0,70
594,Alomomola,,Caring,165,75,80,40,45,65,Water,,Healer,Hydration,Regenerator,75,31.6,1.2,10280,50,800000,F,5,0,302,6,3,0,70
595,Joltik,,Attaching,50,47,50,57,50,65,Bug,Electric,Compound Eyes,Unnerve,Swarm,190,0.6,0.1,5140,50,1000000,MF,5,0,303,10,14,0,70
596,Galvantula,,EleSpider,70,77,60,97,60,108,Bug,Electric,Compound Eyes,Unnerve,Swarm,75,14.3,0.8,5140,50,1000000,MF,5,595,303,10,14,0,70
